Date,Name,Year,Letterboxd URI,Rating
2022-07-13,La La Land,2016,https://boxd.it/a5fa,5
2022-07-13,Knives Out,2019,https://boxd.it/jWEA,5
2022-07-13,Whiplash,2014,https://boxd.it/7bQA,5
2022-07-13,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3
2022-07-13,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2022-07-13,Baby Driver,2017,https://boxd.it/bhF2,4
2022-07-13,Django Unchained,2012,https://boxd.it/2cCk,3.5
2022-07-13,Arrival,2016,https://boxd.it/aNGk,4
2022-07-13,Paddington 2,2017,https://boxd.it/bCF8,4.5
2022-07-13,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2022-07-13,The Social Network,2010,https://boxd.it/17ue,5
2022-07-13,Dead Poets Society,1989,https://boxd.it/2aSg,4
2022-07-13,Shutter Island,2010,https://boxd.it/1U82,3.5
2022-07-13,Drive,2011,https://boxd.it/IG,4
2022-07-13,Promising Young Woman,2020,https://boxd.it/loRE,4
2022-07-13,Wildlife,2018,https://boxd.it/eKYe,4.5
2022-07-13,Wall Street: Money Never Sleeps,2010,https://boxd.it/1eGm,5
2022-07-13,Public Enemies,2009,https://boxd.it/1U8m,3.5
2022-07-13,Collateral,2018,https://boxd.it/izQ2,2.5
2022-07-13,The Dig,2021,https://boxd.it/jo2i,3.5
2022-07-13,The King,2019,https://boxd.it/ieZs,4.5
2022-07-13,The Martian,2015,https://boxd.it/8SeG,4
2022-07-14,Vice,2018,https://boxd.it/fcFY,3.5
2022-07-14,The Prestige,2006,https://boxd.it/293w,4.5
2022-07-14,Good Will Hunting,1997,https://boxd.it/2ahY,4
2022-07-14,Saving Private Ryan,1998,https://boxd.it/29ro,3
2022-07-14,Minions: The Rise of Gru,2022,https://boxd.it/fz9w,3
2022-07-15,Crazy Rich Asians,2018,https://boxd.it/gfnK,4
2022-07-15,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2023-01-03,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2023-01-03,Bullet Train,2022,https://boxd.it/qW26,4
2023-01-03,Glass Onion,2022,https://boxd.it/oCkK,3.5
2023-01-03,Roald Dahl's Matilda the Musical,2022,https://boxd.it/oToE,4
2024-03-29,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-06-01,In the Land of Saints and Sinners,2023,https://boxd.it/CQsQ,4.5
2024-06-01,Triangle of Sadness,2022,https://boxd.it/hXlq,3
2024-06-01,Dark Waters,2019,https://boxd.it/kaYu,4.5
2024-06-01,The Departed,2006,https://boxd.it/28MA,4
2024-06-01,Leave the World Behind,2023,https://boxd.it/re0i,3.5
2024-06-01,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,3.5
2024-06-01,The Killer,2023,https://boxd.it/u6WE,3.5
2024-06-01,Oppenheimer,2023,https://boxd.it/wUow,3.5
2024-06-01,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3
2024-06-01,Babylon,2022,https://boxd.it/mM02,4
